"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"1",1,0,0,0,0.0506329113924051,0.283489096573209,0.576923076923077,0,0,0,0.506535947712418,0,0.597359735973597,0,0,0.614886731391586,0.0700636942675159,0.504918032786885,0,0.746710526315789,0.152317880794702,0.255892255892256,0.0512820512820513,0,0.299003322259136,0.241935483870968,0.242811501597444,0,0.331103678929766,0,0.559105431309904,0.249180327868852,0.537974683544304,0.232484076433121,0,0.28125,0,0.211409395973154,0,0.254658385093168,0,0.223684210526316,0,0,0.331210191082803,0.634868421052632,0,0.498349834983498,0.585526315789474,0,0.00320512820512821,0.735202492211838,0.239202657807309,0.300632911392405,0,0,0,0.373376623376623,0,0.248344370860927,0.065015479876161,0.237012987012987,0,0.00630914826498423,0,0.0314465408805031,0,0,0.0130718954248366,0.645051194539249,0.485530546623794,0.252559726962457,0,0.490131578947368,0,0.0315457413249211,0.967948717948718,0
"2",0,1,0.0033112582781457,0.203333333333333,0,0,0,0,0.996904024767802,0.823920265780731,0,0.00313479623824451,0,0.180379746835443,0.180981595092025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168789808917197,0,0,0,0,0,0.16504854368932,0,0.00952380952380952,0.0474683544303797,0,0,0.310679611650485,0,0,0.159235668789809,0,0,0,0,0,0.170347003154574,0.264797507788162,0,0.993569131832797,0,0,0,0.96,0,0.00304878048780488,0,0.00316455696202532,0.842105263157895,0,0,0,0,0,0,0.11400651465798,0,0,0
"3",0,0.0033112582781457,1,0.440789473684211,0,0,0,0.674418604651163,0.00325732899022801,0,0,0.934210526315789,0,0.415032679738562,0.465408805031447,0,0.00313479623824451,0,0,0,0,0,0,0.428115015974441,0,0,0,0.3,0,0.57843137254902,0,0,0,0.0325732899022801,0.592356687898089,0,0.545161290322581,0.0376712328767123,0.504792332268371,0,0.444078947368421,0,0.549342105263158,0.823151125401929,0,0,0.384105960264901,0,0,0.481012658227848,0,0,0,0,0.466442953020134,0.7125,0.320388349514563,0,0.00332225913621262,0,0,0,0.0102389078498294,0.0256410256410256,0.580745341614907,0.426751592356688,0.518032786885246,0,0,0,0,0,0.0559210526315789,0,0.575657894736842,0,0,0.060702875399361
"4",0,0.203333333333333,0.440789473684211,1,0,0,0,0.0718954248366013,0.196141479099678,0.00325732899022801,0,0.365384615384615,0,0.9375,0.990384615384615,0,0,0,0.151315789473684,0,0,0,0,0.0349206349206349,0,0,0,0.0198019801980198,0,0.133116883116883,0,0,0,0,0.937888198757764,0,0.0448717948717949,0.00337837837837838,0.0573248407643312,0,0.879084967320261,0,0.109634551495017,0.456310679611651,0,0,0.996688741721854,0,0,0.87012987012987,0,0,0,0,0.06,0.830128205128205,0.932038834951456,0,0.23841059602649,0,0,0,0.36271186440678,0.0217391304347826,0.0764331210191083,0.0286624203821656,0.0562913907284768,0.034375,0,0,0,0,0.00668896321070234,0,0.850498338870432,0,0,0.00324675324675325
"5",0.0506329113924051,0,0,0,1,0,0.127329192546584,0,0,0,0.107692307692308,0,0.117088607594937,0,0,0.123456790123457,0.975535168195719,0.213414634146341,0,0.0588235294117647,0.501597444089457,0,1,0.182370820668693,0,0.0338461538461538,0,0.473354231974922,0,0.0349206349206349,0.110429447852761,0,0,0.700636942675159,0,0.384384384384384,0.017910447761194,0.444444444444444,0.0668693009118541,0,0,0.726708074534162,0,0,0,0.102803738317757,0,0.0126582278481013,0.00615384615384615,0.00305810397553517,0.942073170731707,0.0746268656716418,0,0,0.155763239875389,0,0,0.297546012269939,0,0,0.975903614457831,0,0,0.91875,0,0.160606060606061,0.0515151515151515,0,0.981538461538462,0.105431309904153,0.027355623100304,0,0.905956112852665,0.00311526479750779,0,1,0.0582822085889571,0.909937888198758
"6",0.283489096573209,0,0,0,0,1,0.00302114803625378,0,0,0,0.0093167701863354,0,0.00925925925925926,0,0,0.0156739811912226,0,0,0,0.024390243902439,0,0.981132075471698,0,0,0.996894409937888,0.453731343283582,0.939577039274924,0,0.993630573248408,0,0.00609756097560976,0.962616822429907,0.751461988304094,0,0,0.00892857142857143,0,0,0,0.979289940828402,0,0,0,0,0.996987951807229,0.0124610591900312,0,0.280757097791798,0.72,0,0,0.021021021021021,0.92332268370607,1,0,0,0,0,0,0.926380368098159,0,0.925,0,0,0,0,0,0,0,0.0159744408945687,0.282608695652174,0.925566343042071,0,0.321321321321321,0,0,0.31306990881459,0
"7",0.576923076923077,0,0,0,0.127329192546584,0.00302114803625378,1,0,0,0,0.996784565916399,0,1,0,0,0.993610223642173,0.139751552795031,0.922330097087379,0,0.844660194174757,0.545751633986928,0,0.10126582278481,0,0.0128617363344051,0.538699690402477,0,0,0.0287539936102236,0,1,0,0.138138138138138,0.317307692307692,0,0.580246913580247,0,0.651162790697674,0,0,0,0.371069182389937,0,0,0,0.993730407523511,0,0.585760517799353,0.155555555555556,0,0.0467289719626168,0.884498480243161,0,0.00920245398773006,0,0,0,0.815873015873016,0,0,0.146788990825688,0,0,0.027190332326284,0,0.04,0,0,0.0689655172413793,0.958466453674121,0.590625,0,0,0.546296296296296,0,0.0953846153846154,0.544891640866873,0
"8",0,0,0.674418604651163,0.0718954248366013,0,0,0,1,0,0,0,0.730519480519481,0,0.105095541401274,0.10410094637224,0,0,0,0,0,0,0,0,0.736156351791531,0,0,0,0.503311258278146,0,0.802588996763754,0,0,0,0.0588235294117647,0.211356466876972,0,0.893416927899687,0.0574324324324324,0.870550161812298,0,0.211920529801325,0,0.902684563758389,0.538709677419355,0,0,0.0301003344481605,0,0,0.11875,0,0,0,0,0.737704918032787,0.307692307692308,0.0219435736677116,0,0,0,0,0,0.00338983050847458,0.00318471337579618,0.913846153846154,0.699680511182109,0.871794871794872,0,0,0,0,0,0.0794701986754967,0,0.325732899022801,0,0,0.0681818181818182
"9",0,0.996904024767802,0.00325732899022801,0.196141479099678,0,0,0,0,1,0.829192546583851,0,0.00303030303030303,0,0.18348623853211,0.170731707317073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159159159159159,0,0,0,0,0,0.152439024390244,0,0.0125,0.043613707165109,0,0,0.308681672025723,0,0,0.134146341463415,0,0,0,0,0,0.155963302752294,0.247706422018349,0,0.993710691823899,0,0,0,0.888178913738019,0,0.00301204819277108,0,0.00307692307692308,0.846385542168675,0,0,0,0,0,0,0.126984126984127,0,0,0
"10",0,0.823920265780731,0,0.00325732899022801,0,0,0,0,0.829192546583851,1,0,0,0,0,0.00625,0,0,0,0.857594936708861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0,0,0,0,0.00319488817891374,0,0,0,0,0,0.0960264900662252,0,0,0,0,0,0,0,0,0.00314465408805031,0.0679012345679012,0,0.794788273615635,0,0,0,0.665573770491803,0,0,0,0,1,0,0,0,0,0,0,0.00333333333333333,0,0,0
