"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238"
"1",1,1,0,0,1,1,0,0,0,1,0.012012012012012,0.00303030303030303,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.00303951367781155,1,1,1,1,1,1,1,0.00598802395209581,0.192073170731707,0,0,1,1,1,1,1,0.069620253164557,1,0,0,1,1,0.342948717948718,0,1,0.0031055900621118,1,1,1,1,1,1,0.00297619047619048,1,1,1,1,1,0,1,1,0.00314465408805031,1,0.175718849840256,1,1,1,0,0,0.950310559006211,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0.003125,0,1,0,1,0,0,0,0,0.315789473684211,0.0214723926380368,0.00303030303030303,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.00302114803625378,0,0,0,0,0.00611620795107034,1,1,0,0,0,1,0.00307692307692308,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0.290123456790123,1,0,0.99388379204893,0,0,0,1,0,0,0.00324675324675325,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0.00305810397553517,0,0.00303951367781155,0,0,0,0.311526479750779,1,0,1,1,0,0,1,0,0,0.00315457413249211,0,0,1,0.00317460317460317,1,0,0,1,0,1,1,0,0,0.00974025974025974,1,0,0,0,0.176646706586826
"2",1,1,0,0,1,1,0,0,0,1,0.0125,0.003125,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.00316455696202532,1,1,1,1,1,1,1,0.00625,0.192926045016077,0,0,1,1,1,1,1,0.0744336569579288,1,0,0,1,1,0.338762214983713,0,1,0.00325732899022801,1,1,1,1,1,1,0.00308641975308642,1,1,1,1,1,0,1,1,0.0032258064516129,1,0.163333333333333,1,1,1,0,0,0.949044585987261,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0.00324675324675325,0,1,0,1,0,0,0,0,0.305135951661631,0.022508038585209,0.00315457413249211,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.00308641975308642,0,0,0,0,0.00628930817610063,1,1,0,0,0,1,0.0032258064516129,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0.266447368421053,1,0,0.990595611285266,0,0,0,1,0,0,0.00332225913621262,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0.00313479623824451,0,0.0032258064516129,0,0,0,0.295819935691318,1,0,1,1,0,0,1,0,0,0.00334448160535117,0,0,1,0.00321543408360129,1,0,0,1,0,1,1,0,0,0.0101351351351351,1,0,0,0,0.157556270096463
"3",0,0,1,1,0,0,1,1,1,0,0.99079754601227,0.996969696969697,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.996815286624204,0,0,0,0,0,0,0,0.99390243902439,0.813455657492355,1,1,0,0,0,0,0,0.92156862745098,0,1,1,0,0,0.662420382165605,1,0,0.996794871794872,0,0,0,0,0,0,0.997005988023952,0,0,0,0,0,1,0,0,0.996774193548387,0,0.816993464052288,0,0,0,1,1,0.0514469453376206,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0.996794871794872,1,0,1,0,1,1,1,1,0.677514792899408,0.978125,0.996969696969697,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0.996923076923077,1,1,1,1,0.993846153846154,0,0,1,1,1,0,0.99685534591195,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0.712025316455696,0,1,0.0124223602484472,1,1,1,0,1,1,0.996753246753247,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0.996894409937888,1,0.996845425867508,1,1,1,0.698412698412698,0,1,0,0,1,1,0,1,1,0.996763754045307,1,1,0,0.996845425867508,0,1,1,0,1,0,0,1,1,0.993610223642173,0,1,1,1,0.82262996941896
"4",0,0,1,1,0,0,1,1,1,0,0.987841945288754,0.997014925373134,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.996960486322188,0,0,0,0,0,0,0,0.996996996996997,0.802469135802469,1,1,0,0,0,0,0,0.931596091205212,0,1,1,0,0,0.659235668789809,1,0,0.996835443037975,0,0,0,0,0,0,0.997005988023952,0,0,0,0,0,1,0,0,0.996784565916399,0,0.849358974358974,0,0,0,1,1,0.0377358490566038,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0.996815286624204,1,0,1,0,1,1,1,1,0.691842900302115,0.981481481481482,0.996913580246914,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0.996913580246914,1,1,1,1,0.996894409937888,0,0,1,1,1,0,0.996865203761755,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0.718654434250764,0,1,0.0124223602484472,1,1,1,0,1,1,0.996784565916399,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0.996941896024465,1,0.996913580246914,1,1,1,0.711598746081505,0,1,0,0,1,1,0,1,1,0.996774193548387,1,1,0,0.996884735202492,0,1,1,0,1,0,0,1,1,0.990506329113924,0,1,1,1,0.846153846153846
"5",1,1,0,0,1,1,0,0,0,1,0.00914634146341463,0.00303951367781155,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.00306748466257669,1,1,1,1,1,1,1,0.003003003003003,0.193251533742331,0,0,1,1,1,1,1,0.0673076923076923,1,0,0,1,1,0.349514563106796,0,1,0.00317460317460317,1,1,1,1,1,1,0.00298507462686567,1,1,1,1,1,0,1,1,0.0032258064516129,1,0.173633440514469,1,1,1,0,0,0.959752321981424,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0.00309597523219814,0,1,0,1,0,0,0,0,0.331378299120235,0.015625,0.00301204819277108,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.00305810397553517,0,0,0,0,0.00305810397553517,1,1,0,0,0,1,0.00308641975308642,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0.296178343949045,1,0,0.990825688073395,0,0,0,1,0,0,0.00325732899022801,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0.00305810397553517,0,0.00315457413249211,0,0,0,0.308641975308642,1,0,1,1,0,0,1,0,0,0.00326797385620915,0,0,1,0.00318471337579618,1,0,0,1,0,1,1,0,0,0.00649350649350649,1,0,0,0,0.182370820668693
"6",1,1,0,0,1,1,0,0,0,1,0.00657894736842105,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0.003125,0.184466019417476,0,0,1,1,1,1,1,0.0563380281690141,1,0,0,1,1,0.334470989761092,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0.154639175257732,1,1,1,0,0,0.947540983606557,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0.303125,0.0099009900990099,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0.00325732899022801,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0.271186440677966,1,0,0.986970684039088,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0.288590604026846,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0.0069204152249135,1,0,0,0,0.161716171617162
"7",0,0,1,1,0,0,1,1,1,0,0.987878787878788,0.996969696969697,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.996884735202492,0,0,0,0,0,0,0,0.99390243902439,0.814814814814815,1,1,0,0,0,0,0,0.927868852459016,0,1,1,0,0,0.680379746835443,1,0,0.996835443037975,0,0,0,0,0,0,0.996969696969697,0,0,0,0,0,1,0,0,0.996865203761755,0,0.839228295819936,0,0,0,1,1,0.0438871473354232,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0.996794871794872,1,0,1,0,1,1,1,1,0.694117647058824,0.977848101265823,0.996923076923077,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0.996932515337423,1,1,1,1,0.993846153846154,0,0,1,1,1,0,0.996865203761755,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0.723270440251572,0,1,0.00940438871473354,1,1,1,0,1,1,0.996815286624204,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0.996932515337423,1,0.996913580246914,1,1,1,0.703470031545741,0,1,0,0,1,1,0,1,1,0.996763754045307,1,1,0,0.996784565916399,0,1,1,0,1,0,0,1,1,0.990228013029316,0,1,1,1,0.836363636363636
"8",0,0,1,1,0,0,1,1,1,0,0.987951807228916,0.996951219512195,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.996969696969697,0,0,0,0,0,0,0,0.993993993993994,0.797546012269939,1,1,0,0,0,0,0,0.928571428571429,0,1,1,0,0,0.663461538461538,1,0,0.996875,0,0,0,0,0,0,0.996978851963746,0,0,0,0,0,1,0,0,0.996815286624204,0,0.84887459807074,0,0,0,1,1,0.0524691358024691,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0.996784565916399,1,0,1,0,1,1,1,1,0.679640718562874,0.978328173374613,0.996904024767802,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0.996932515337423,1,1,1,1,0.99390243902439,0,0,1,1,1,0,0.996884735202492,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0.714733542319749,0,1,0.009375,1,1,1,0,1,1,0.996805111821086,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0.997005988023952,1,0.996913580246914,1,1,1,0.689102564102564,0,1,0,0,1,1,0,1,1,0.996815286624204,1,1,0,0.996904024767802,0,1,1,0,1,0,0,1,1,0.990384615384615,0,1,1,1,0.840978593272171
"9",0,0,1,1,0,0,1,1,1,0,0.990825688073395,0.996996996996997,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.996894409937888,0,0,0,0,0,0,0,0.997005988023952,0.81039755351682,1,1,0,0,0,0,0,0.936305732484076,0,1,1,0,0,0.676190476190476,1,0,0.996825396825397,0,0,0,0,0,0,0.997014925373134,0,0,0,0,0,1,0,0,0.996805111821086,0,0.857142857142857,0,0,0,1,1,0.046583850931677,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0.996865203761755,1,0,1,0,1,1,1,1,0.695014662756598,0.981424148606811,0.997005988023952,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0.996923076923077,1,1,1,1,0.996894409937888,0,0,1,1,1,0,0.996932515337423,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0.747634069400631,0,1,0.00928792569659443,1,1,1,0,1,1,0.996825396825397,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0.996969696969697,1,0.996932515337423,1,1,1,0.72360248447205,0,1,0,0,1,1,0,1,1,0.996753246753247,1,1,0,0.996794871794872,0,1,1,0,1,0,0,1,1,0.993589743589744,0,1,1,1,0.858895705521472
"10",1,1,0,0,1,1,0,0,0,1,0.0119047619047619,0.00292397660818713,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.00302114803625378,1,1,1,1,1,1,1,0.00589970501474926,0.201834862385321,0,0,1,1,1,1,1,0.0757097791798107,1,0,0,1,1,0.333333333333333,0,1,0.00309597523219814,1,1,1,1,1,1,0.00294117647058824,1,1,1,1,1,0,1,1,0.00320512820512821,1,0.178461538461538,1,1,1,0,0,0.957186544342508,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0.00316455696202532,0,1,0,1,0,0,0,0,0.312865497076023,0.0209580838323353,0.00297619047619048,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.003003003003003,0,0,0,0,0.00589970501474926,1,1,0,0,0,1,0.00306748466257669,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0.279279279279279,1,0,0.987915407854985,0,0,0,1,0,0,0.00304878048780488,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0.00294985250737463,0,0.0029673590504451,0,0,0,0.297805642633229,1,0,1,1,0,0,1,0,0,0.00311526479750779,0,0,1,0.00306748466257669,1,0,0,1,0,1,1,0,0,0.00943396226415094,1,0,0,0,0.169184290030211
