"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169"
"1",1,0,0.0032258064516129,0.00321543408360129,0,0,0.3,0,0,0,0,0,0,0,0,0,0.520376175548589,0,0,0,0.757475083056478,0,0.521035598705502,0,0,0.565359477124183,0,0,0,0,0,0,0,0.438871473354232,0.535483870967742,0,0.519230769230769,0.359477124183007,0,0.21656050955414,0.757377049180328,0,0,0,0,0,0,0,0.195046439628483,0,0.574675324675325,0,0,0,0,0,0,0,0.401898734177215,0,0,0.488448844884488,0,0,0,0,0,0.00315457413249211,0.715753424657534,0,0,0,0,0,0.00636942675159236,0,0,0,0,0.865573770491803,0,0,0,0,0,0,0,0,0.57741935483871,0,0,0,0,0,0,0.582491582491583,0,0,0,0.814569536423841,0.0033003300330033,0,0,0,0.253246753246753,0,0.816129032258065,0.643790849673203,0,0.71474358974359,0,0.528052805280528,0.82,0.817891373801917,0.00328947368421053,0.845659163987138,0,0,0,0.908227848101266,0,0,0,0.830388692579505,0,0,0,0.259868421052632,0,0,0,0.0135135135135135,0.826797385620915,0.85472972972973,0,0,0.00334448160535117,0.449511400651466,0.548701298701299,0,0.00655737704918033,0,0,0,0,0,0,0.495081967213115,0,0,0,0,0.315614617940199,0.559210526315789,0,0,0,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0
"2",0,1,0,0,0.086687306501548,0,0,0,0,0.88719512195122,0.179245283018868,0.958199356913183,0.904153354632588,0.260869565217391,0,0.155763239875389,0,0.930599369085173,0.901587301587302,0.88,0,0,0,0,0.481012658227848,0,0.318471337579618,0.0926517571884984,0,0,0,0.111821086261981,0,0,0,0,0,0,0.875389408099688,0,0,0,0,0.262820512820513,0,0.714285714285714,0.0218068535825545,0.00333333333333333,0,0,0,0.891025641025641,0.00315457413249211,0,0.756578947368421,0.552469135802469,0,0,0,0,0.842105263157895,0,0,0,0.113924050632911,0,0.87459807073955,0,0,0.9,0,0.0741935483870968,0.883495145631068,0,0,0.746875,0.868167202572347,0,0.873015873015873,0,0,0,0,0,0,0,0.12779552715655,0.00307692307692308,0,0.133540372670807,0.161490683229814,0.152866242038217,0,0,0.158730158730159,0,0.00316455696202532,0.135802469135802,0,0,0,0.116352201257862,0,0.115511551155116,0,0,0,0,0,0,0.0338461538461538,0,0,0,0,0,0.122699386503067,0,0.108695652173913,0,0,0,0,0,0.115264797507788,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135313531353135,0,0.0844155844155844,0.0101010101010101,0,0,0,0,0,0,0,0.0230263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0.135220125786164,0
"3",0.0032258064516129,0,1,0.315625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774193548387097,0,0,0,0.0766871165644172,0.046583850931677,0,0,0.0685358255451713,0,0.184952978056426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.0394736842105263,0,0,0,0,0,0.348765432098765,0,0,0,0,0.015527950310559,0,0,0,0,0,0.819875776397516,0,0,0,0,0,0,0.993630573248408,0,0,0,0,0,0.840764331210191,0,0.339506172839506,0,0,0,0,0,0,0.00311526479750779,0.331189710610932,0,0,0,0.00321543408360129,0,0.29874213836478,0,0,0,0,0,0,0.309148264984227,0,0,0,0,0.316831683168317,0.166666666666667,0.326860841423948,0,0,0.333333333333333,0,0,0,0,0.309446254071661,0,0,0.323899371069182,0.301242236024845,0,0,0,0,0,0,0,0.99016393442623,0.318042813455657,0,0.957654723127036,0.0643086816720257,0,0,0,0.733118971061093,0,0,0,0.628571428571429,0.729559748427673,0,0.337579617834395,0.352760736196319,0,0,0,0
"4",0.00321543408360129,0,0.315625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996884735202492,0,0,0,0.495384615384615,0.344615384615385,0,0,0.536277602523659,0,0.679127725856698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495327102803738,0,0,0,0,0,0,0,0,0,0.115131578947368,0,0,0,0,0,0.966565349544073,0,0,0,0,0.00613496932515337,0,0,0,0,0,0.495356037151703,0,0,0,0,0,0,0.253918495297806,0,0,0,0,0,0.10410094637224,0.00318471337579618,1,0,0,0,0,0,0,0.215151515151515,0.996763754045307,0,0,0,0.0188087774294671,0,1,0.00934579439252336,0,0,0,0.00307692307692308,0,0.996835443037975,0,0.0170068027210884,0,0,1,0.762820512820513,1,0,0,0.968652037617555,0.00315457413249211,0,0,0,1,0,0,1,0.996951219512195,0,0,0,0,0,0,0,0.277955271565495,0.99388379204893,0,0.216129032258065,0.647435897435897,0,0,0,0.0754716981132075,0,0,0,0.738853503184713,0.0542168674698795,0,0.984126984126984,0.996923076923077,0,0,0,0
"5",0,0.086687306501548,0,0,1,0,0,0,0,0.00293255131964809,0.85625,0.00311526479750779,0.00320512820512821,0.00308641975308642,0,0,0,0.0619195046439628,0.00302114803625378,0.00303951367781155,0,0,0,0,0.484567901234568,0,0.818461538461538,0.993670886075949,0,0,0,0.971698113207547,0,0,0,0,0,0,0.0975609756097561,0,0,0,0,0.841121495327103,0,0.350609756097561,0,0,0,0,0,0.00914634146341463,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0.924290220820189,0,0,0,0,0.00320512820512821,0,1,0.00314465408805031,0,0,0,0.003125,0,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0.852760736196319,0.800613496932515,0,0,0,0,0,0,0.836858006042296,0,0,0,0.809968847352025,0,0.915584415584416,0,0,0,0,0,0,0.278787878787879,0,0,0,0,0,0.80952380952381,0,0.617737003058104,0,0,0,0,0,0.599388379204893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830065359477124,0,0.993670886075949,0,0,0,0,0,0,0,0,0.357827476038339,0,0,0,0,0,0,0,0,0,0,0,0,0.664576802507837,0
"6",0,0,0,0,0,1,0,0.980769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503448275862069,0,0.0253968253968254,0,0,0,0,0.447712418300654,0,0,0,1,0,0,0.960264900662252,0,0,0,0,0,0,0.484076433121019,0,0.470588235294118,0,0,0.00967741935483871,0.0638297872340425,0,0,0,0,0.00332225913621262,0,0,0.54140127388535,0.574074074074074,0,0.308917197452229,0,0,0,0.003125,0,0.949044585987261,0,0.43167701863354,0,0,0.523659305993691,0,0,0,0,0,0,0,0,0,0,0.972049689440994,0.96551724137931,0.0324675324675325,0.194267515923567,0,0,0,0,0,0,0,0,0.722929936305732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657980456026059,0,0.0255591054313099,0,0,0.888888888888889,0,0,0,0,0.0198675496688742,0,0,0,0,0.916666666666667,0,0,0.0761904761904762,0,0,0,0.965408805031447,0,0.218461538461538,0,0,0,0,0,0,0,0,0,0,0.033003300330033,0,0.5,0.976973684210526,0.0290322580645161,0,0,0.00649350649350649,0,0,0,0.00334448160535117,0,0.205980066445183
"7",0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.688821752265861,0,0,0,0.450479233226837,0,0.674121405750799,0.0338461538461538,0,0.594936708860759,0,0,0,0,0,0,0,0.0029940119760479,0.0428134556574924,0.00980392156862745,0.701863354037267,0.00311526479750779,0,0,0.492260061919505,0,0,0,0,0,0,0,0.891566265060241,0,0.585669781931464,0,0,0,0,0,0,0,0.0031055900621118,0,0,0.735384615384615,0,0,0,0,0,0.593373493975904,0.170491803278689,0,0.387692307692308,0,0,0,0,0,0,0.0250783699059561,0,0.206153846153846,0,0,0,0,0,0,0,0,0.584905660377358,0,0,0,0,0.21656050955414,0,0.588424437299035,0,0,0,0.400641025641026,0,0,0,0,0.969604863221885,0,0.393292682926829,0.310975609756098,0,0.457943925233645,0,0.681967213114754,0.38961038961039,0.398753894080997,0,0.362776025236593,0,0,0,0.395705521472393,0.260188087774295,0,0.0182370820668693,0.374172185430464,0,0,0,0.00315457413249211,0,0,0,0,0.404388714733542,0.266025641025641,0,0,0,0.802469135802469,0.44,0,0,0,0,0,0,0,0,0.717041800643087,0,0,0,0,0.00308641975308642,0.655063291139241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0.980769230769231,0,1,0.0031055900621118,0,0,0,0,0,0.00313479623824451,0,0,0,0,0,0,0.433898305084746,0,0.0246913580246914,0,0,0,0,0.378461538461538,0,0.0031055900621118,0,0.981308411214953,0,0,0.986754966887417,0,0,0,0,0,0,0.425867507886435,0,0.404255319148936,0,0,0.0188679245283019,0.0650887573964497,0.00301204819277108,0,0,0,0.00645161290322581,0,0,0.501567398119122,0.50920245398773,0,0.260869565217391,0,0,0,0.0060790273556231,0,0.937888198757764,0,0.388379204892966,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0.99388379204893,0.98780487804878,0.0368098159509202,0.189274447949527,0,0,0,0,0,0,0,0,0.77124183006536,0,0,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479,0,0,0.669902912621359,0,0.0216049382716049,0,0,0.911392405063291,0,0,0,0,0.0192926045016077,0,0,0,0,0.895522388059702,0,0,0.0740740740740741,0,0,0,0.948484848484848,0,0.212574850299401,0,0,0,0,0,0,0,0,0,0,0.0354838709677419,0,0.433234421364985,1,0.035031847133758,0,0,0.00626959247648903,0,0,0.00320512820512821,0.00638977635782748,0,0.19496855345912
"9",0,0,0,0,0,0,0,0.0031055900621118,1,0,0,0,0,0.00911854103343465,0.987577639751553,0.175384615384615,0,0,0,0,0,0.303921568627451,0,0,0,0,0,0,0.38006230529595,0,0.772036474164134,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0.308157099697885,0,0.412121212121212,0.723270440251572,0,0.978658536585366,0,0,0.656804733727811,0.755555555555556,0,0.177177177177177,0.233644859813084,0.204204204204204,0,0.431192660550459,0.0283018867924528,0,0,0,0,0.0584615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725308641975309,0.00303951367781155,0.018018018018018,0.907462686567164,0.755485893416928,0,0,0.193251533742331,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0.676829268292683,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.795252225519288,0,0,0,0,0,0,0,0,0,0,0,0.184375,0.911949685534591,0,0,0.0670926517571885,0.698757763975155,0.0595238095238095,0,0,0,0,0,0.24375,0.00303030303030303,0,0.743362831858407,0,0.157232704402516,0,0,0,0.275071633237822,0,0,0,0,0.912621359223301,0,0.299703264094956,0,0.846645367412141,0,0,0,0,0,0.75974025974026,0.990712074303406,0,0.767080745341615
"10",0,0.88719512195122,0,0,0.00293255131964809,0,0,0,0,1,0.0634441087613293,0.985207100591716,0.955089820359281,0.383928571428571,0,0.27027027027027,0,0.924012158054711,0.961538461538462,0.947826086956522,0,0,0,0,0.341317365269461,0,0.19047619047619,0,0,0,0,0.015015015015015,0,0,0,0,0,0,0.821114369501466,0,0,0,0,0.149700598802395,0,0.687315634218289,0.122448979591837,0.0031055900621118,0,0,0,0.946745562130177,0.00879765395894428,0,0.846385542168675,0.656891495601173,0,0,0,0,0.937888198757764,0,0,0,0,0,0.954268292682927,0,0,0.94578313253012,0,0,0.951951951951952,0,0,0.85,0.944117647058824,0,1,0,0,0,0,0,0,0,0.266272189349112,0.113372093023256,0,0,0.0147492625368732,0.262839879154079,0,0,0.283536585365854,0,0.131736526946108,0.00297619047619048,0,0,0,0,0.0386904761904762,0,0,0,0,0,0,0,0.112759643916914,0,0,0,0,0,0,0.0254957507082153,0.0588235294117647,0,0,0,0,0,0.0658682634730539,0,0,0,0,0.126153846153846,0.00615384615384615,0,0,0,0.0365853658536585,0,0,0,0,0,0,0.122324159021407,0,0,0,0,0.120634920634921,0,0,0,0.11864406779661,0,0,0,0.125,0,0,0,0,0.00302114803625378,0,0,0,0,0,0.040625,0,0.0757575757575758,0
