"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126"
"1",1,1,1,0,0.993690851735016,0,0,0.0378548895899054,1,1,1,0,0,1,0.984848484848485,0,1,1,0,0.00623052959501558,0.00996677740863787,1,0.0460122699386503,0,1,1,1,1,0.268456375838926,0.00638977635782748,1,0,0.541139240506329,0.331288343558282,0,0,0,1,1,0.268987341772152,0,0.55591054313099,1,0.0438871473354232,0.301639344262295,1,0,1,0,1,0,0.00647249190938511,0,0.437106918238994,0,0.00332225913621262,0,1,0,0.0326797385620915,1,0,0,1,1,1,0.256329113924051,0,0,1,0.687697160883281,0.0441640378548896,0,0.555555555555556,1,0,1,1,0.350157728706625,0.555555555555556,1,1,0,0.590322580645161,0.355345911949686,0.338658146964856,1,1,1,0.549079754601227,1,0.003125,0,0,0.662379421221865,0,0,0.64968152866242,1,0,1,0,0,1,1,1,1,1,0,0,0.335384615384615,0.984423676012461,0.331230283911672,0.267741935483871,0.343949044585987,1,0.552380952380952,0.267100977198697,1,1,1,0,0.54601226993865,1,1,1
"2",1,1,1,0,0.996794871794872,0,0,0.0378006872852234,1,1,1,0,0,1,0.987341772151899,0,1,1,0,0.00952380952380952,0.0068259385665529,1,0.0419354838709677,0,1,1,1,1,0.256666666666667,0.00993377483443709,1,0,0.573248407643312,0.332268370607029,0,0,0,1,1,0.262458471760797,0,0.579470198675497,1,0.0429042904290429,0.295681063122924,1,0,1,0,1,0,0.00996677740863787,0,0.425742574257426,0,0.00662251655629139,0,1,0,0.0359477124183007,1,0,0,1,1,1,0.249180327868852,0,0,1,0.697068403908795,0.0451612903225806,0,0.589403973509934,1,0,1,1,0.345161290322581,0.593220338983051,1,1,0,0.617940199335548,0.331103678929766,0.313531353135314,1,1,1,0.585987261146497,1,0.00675675675675676,0,0,0.663333333333333,0,0,0.662251655629139,1,0,1,0,0,1,1,1,1,1,0,0,0.309148264984227,0.983606557377049,0.318181818181818,0.259259259259259,0.32996632996633,1,0.571428571428571,0.249158249158249,1,1,1,0,0.568690095846645,1,1,1
"3",1,1,1,0,0.996805111821086,0,0,0.0437710437710438,1,1,1,0,0,1,0.984520123839009,0,1,1,0,0.0032258064516129,0.0105263157894737,1,0.0447284345047923,0,1,1,1,1,0.245847176079734,0.00328947368421053,1,0,0.552715654952077,0.310897435897436,0,0,0,1,1,0.235294117647059,0,0.583333333333333,1,0.0553745928338762,0.271523178807947,1,0,1,0,1,0,0.00328947368421053,0,0.431372549019608,0,0.0033003300330033,0,1,0,0.0353697749196141,1,0,0,1,1,1,0.233974358974359,0,0,1,0.713836477987421,0.0485436893203883,0,0.571895424836601,1,0,1,1,0.316129032258064,0.579124579124579,1,1,0,0.611295681063123,0.341059602649007,0.294498381877023,1,1,1,0.567398119122257,1,0.00325732899022801,0,0,0.674342105263158,0,0,0.682847896440129,1,0,1,0,0,1,1,1,1,1,0,0,0.311526479750779,0.990353697749196,0.29903536977492,0.23841059602649,0.337662337662338,1,0.561872909698997,0.240802675585284,1,1,1,0,0.56386292834891,1,1,1
"4",0,0,0,1,0.00325732899022801,1,1,0.959731543624161,0,0,0,1,1,0,0.0093167701863354,1,0,0,1,0.990322580645161,0.993127147766323,0,0.952076677316294,1,0,0,0,0,0.724252491694352,0.990066225165563,0,1,0.420382165605096,0.657980456026059,1,1,1,0,0,0.720394736842105,1,0.433774834437086,0,0.95114006514658,0.693333333333333,0,1,0,1,0,1,0.99009900990099,1,0.55700325732899,1,0.993150684931507,1,0,1,0.964401294498382,0,1,1,0,0,0,0.732899022801303,1,1,0,0.317307692307692,0.947540983606557,1,0.424749163879599,0,1,0,0,0.652866242038217,0.419354838709677,0,0,1,0.399350649350649,0.641638225255973,0.680921052631579,0,0,0,0.438871473354232,0,0.993464052287582,1,1,0.350993377483444,1,1,0.344051446945338,0,1,0,1,1,0,0,0,0,0,1,1,0.666666666666667,0.0131578947368421,0.673139158576052,0.719063545150502,0.659863945578231,0,0.433774834437086,0.730639730639731,0,0,0,1,0.437699680511182,0,0,0
"5",0.993690851735016,0.996794871794872,0.996805111821086,0.00325732899022801,1,0,0.00632911392405063,0.053156146179402,0.993769470404984,0.993730407523511,0.993569131832797,0.00632911392405063,0.00651465798045603,0.996825396825397,0.993920972644377,0.00623052959501558,0.994082840236686,0.993464052287582,0.00619195046439629,0.00940438871473354,0.0133779264214047,0.993548387096774,0.0584615384615385,0.00617283950617284,0.996845425867508,0.99390243902439,0.993548387096774,0.993690851735016,0.265573770491803,0.0128205128205128,0.996875,0.00647249190938511,0.560975609756098,0.322188449848024,0.00606060606060606,0.00662251655629139,0.00632911392405063,0.993485342019544,0.996904024767802,0.268987341772152,0.0062111801242236,0.560747663551402,1,0.0641025641025641,0.289902280130293,0.99388379204893,0.00615384615384615,0.993650793650794,0.00630914826498423,0.996904024767802,0.00625,0.0129449838187702,0.00643086816720257,0.442367601246106,0.00316455696202532,0.00955414012738853,0.00645161290322581,0.99388379204893,0.00634920634920635,0.0492307692307692,0.996753246753247,0.00647249190938511,0.00651465798045603,1,1,0.996699669966997,0.247648902821317,0.0062111801242236,0.00628930817610063,0.996923076923077,0.682242990654206,0.0636942675159236,0.00613496932515337,0.569620253164557,0.996875,0,0.993670886075949,0.996913580246914,0.341614906832298,0.562091503267974,0.99685534591195,0.993355481727575,0.00320512820512821,0.601286173633441,0.347402597402597,0.314465408805031,0.993710691823899,0.996598639455782,0.993769470404984,0.581538461538462,1,0.00943396226415094,0.00315457413249211,0.0066006600660066,0.663333333333333,0.00664451827242525,0.00628930817610063,0.65615141955836,0.993421052631579,0.00636942675159236,0.993808049535604,0.00623052959501558,0.00317460317460317,0.996913580246914,0.99388379204893,0.993827160493827,0.993610223642173,0.996923076923077,0.00602409638554217,0.00604229607250755,0.324242424242424,0.993846153846154,0.310769230769231,0.261290322580645,0.337579617834395,0.993827160493827,0.555194805194805,0.258675078864353,0.993670886075949,0.996884735202492,0.993670886075949,0.00309597523219814,0.56838905775076,0.996865203761755,0.993650793650794,0.99375
"6",0,0,0,1,0,1,1,0.967320261437909,0,0,0,1,1,0,0.00934579439252336,1,0,0,1,0.990566037735849,0.996644295302013,0,0.968652037617555,1,0,0,0,0,0.757475083056478,0.99025974025974,0,1,0.421875,0.682098765432099,1,1,1,0,0,0.751592356687898,1,0.43125,0,0.96551724137931,0.723472668810289,0,1,0,1,0,1,0.990322580645161,1,0.574132492113565,1,0.993399339933993,1,0,1,0.964169381107492,0,1,1,0,0,0,0.770700636942675,1,1,0,0.28391167192429,0.9625,1,0.416666666666667,0,1,0,0,0.671826625386997,0.414239482200647,0,0,1,0.37741935483871,0.668852459016393,0.705696202531646,0,0,0,0.415625,0,0.993506493506494,1,1,0.311897106109325,1,1,0.318611987381703,0,1,0,1,1,0,0,0,0,0,1,1,0.7,0.00940438871473354,0.696875,0.754777070063694,0.677524429967427,0,0.430921052631579,0.754098360655738,0,0,0,1,0.426829268292683,0,0,0
"7",0,0,0,1,0.00632911392405063,1,1,0.961414790996785,0,0,0,1,1,0,0.0151057401812689,1,0,0,1,0.990712074303406,0.996699669966997,0,0.953560371517028,1,0,0,0,0,0.720779220779221,0.990384615384615,0,1,0.450920245398773,0.651234567901235,1,1,1,0,0,0.726984126984127,1,0.434375,0,0.952830188679245,0.684887459807074,0,1,0,1,0,1,0.990384615384615,1,0.556574923547401,1,0.99344262295082,1,0,1,0.962264150943396,0,1,1,0,0,0,0.735849056603774,1,1,0,0.317757009345794,0.952830188679245,1,0.439252336448598,0,1,0,0,0.641509433962264,0.433544303797468,0,0,1,0.39047619047619,0.649842271293375,0.674050632911392,0,0,0,0.434782608695652,0,0.993710691823899,1,1,0.355555555555556,1,1,0.35202492211838,0,1,0,1,1,0,0,0,0,0,1,1,0.665680473372781,0.0154320987654321,0.666666666666667,0.728434504792332,0.64951768488746,0,0.445161290322581,0.73482428115016,0,0,0,1,0.443768996960486,0,0,0
"8",0.0378548895899054,0.0378006872852234,0.0437710437710438,0.959731543624161,0.053156146179402,0.967320261437909,0.961414790996785,1,0.0447284345047923,0.0348101265822785,0.0338983050847458,0.96474358974359,0.956228956228956,0.0359477124183007,0.05625,0.951612903225806,0.0445103857566766,0.0297029702970297,0.957095709570957,0.967741935483871,0.953177257525084,0.0338983050847458,1,0.955696202531646,0.0465116279069767,0.0473186119873817,0.0501672240802676,0.0390879478827362,0.662251655629139,0.973770491803279,0.0353697749196141,0.955932203389831,0.501567398119122,0.617554858934169,0.958333333333333,0.962837837837838,1,0.0431893687707641,0.0453074433656958,0.679738562091503,0.958730158730159,0.511254019292605,0.0538720538720539,1,0.652317880794702,0.0516129032258065,0.952229299363057,0.0453074433656958,0.951298701298701,0.0416666666666667,0.95583596214511,0.96474358974359,0.956375838926175,0.508090614886731,0.960132890365448,0.959459459459459,0.951456310679612,0.0451612903225806,0.967213114754098,1,0.0436241610738255,0.960526315789474,0.962837837837838,0.038961038961039,0.0535117056856187,0.0468227424749164,0.681672025723473,0.954248366013072,0.970967741935484,0.0451612903225806,0.370607028753994,1,0.955414012738854,0.483766233766234,0.0382165605095541,0.954838709677419,0.0468227424749164,0.0443037974683544,0.596825396825397,0.483443708609272,0.0292207792207792,0.0408163265306122,0.954098360655738,0.462540716612378,0.601328903654485,0.62379421221865,0.0426229508196721,0.0391459074733096,0.0448717948717949,0.503184713375796,0.0326797385620915,0.960526315789474,0.94888178913738,0.965986394557823,0.39,0.963455149501661,0.960132890365448,0.39171974522293,0.0471380471380471,0.949832775919732,0.0378548895899054,0.961904761904762,0.954397394136808,0.0492307692307692,0.0387096774193548,0.0434782608695652,0.0390879478827362,0.0443037974683544,0.95583596214511,0.959119496855346,0.632911392405063,0.0517799352750809,0.623003194888179,0.665594855305466,0.61744966442953,0.0382165605095541,0.493464052287582,0.688135593220339,0.045016077170418,0.0354838709677419,0.0426229508196721,0.961290322580645,0.5,0.0485436893203883,0.0485436893203883,0.0456026058631922
"9",1,1,1,0,0.993769470404984,0,0,0.0447284345047923,1,1,1,0,0,1,0.982035928143713,0,1,1,0,0.00925925925925926,0.00964630225080386,1,0.0424242424242424,0,1,1,1,1,0.277227722772277,0.00958466453674121,1,0,0.542682926829268,0.341389728096677,0,0,0,1,1,0.286163522012579,0,0.555205047318612,1,0.0473186119873817,0.314641744548287,1,0,1,0,1,0,0.00964630225080386,0,0.439628482972136,0,0.00641025641025641,0,1,0,0.0443037974683544,1,0,0,1,1,1,0.26813880126183,0,0,1,0.687306501547988,0.0458715596330275,0,0.562300319488818,1,0,1,1,0.340361445783133,0.54983922829582,1,1,0,0.60702875399361,0.358730158730159,0.328025477707006,1,1,1,0.555900621118012,1,0.00625,0,0,0.64951768488746,0,0,0.655384615384615,1,0,1,0,0,1,1,1,1,1,0,0,0.329305135951662,0.981132075471698,0.327217125382263,0.274447949526814,0.354098360655738,1,0.559375,0.267741935483871,1,1,1,0,0.549382716049383,1,1,1
"10",1,1,1,0,0.993730407523511,0,0,0.0348101265822785,1,1,1,0,0,1,0.981538461538462,0,1,1,0,0.00623052959501558,0.00970873786407767,1,0.0311526479750779,0,1,1,1,1,0.26537216828479,0.00628930817610063,1,0,0.541538461538462,0.348484848484849,0,0,0,1,1,0.281645569620253,0,0.537267080745342,1,0.0373831775700935,0.318471337579618,1,0,1,0,1,0,0.00634920634920635,0,0.457680250783699,0,0.00645161290322581,0,1,0,0.0253968253968254,1,0,0,1,1,1,0.261980830670927,0,0,1,0.679878048780488,0.0309597523219814,0,0.553054662379421,1,0,1,1,0.347560975609756,0.554838709677419,1,1,0,0.595015576323987,0.365695792880259,0.332288401253919,1,1,1,0.545731707317073,1,0.00628930817610063,0,0,0.644012944983819,0,0,0.642857142857143,1,0,1,0,0,1,1,1,1,1,0,0,0.341463414634146,0.984177215189873,0.33125,0.273885350318471,0.341935483870968,1,0.538216560509554,0.280130293159609,1,1,1,0,0.532307692307692,1,1,1
